Evidence ID,Document Name,Document Type,Source,Date Created,Date Received,Date Range Covered,Description,Location/Path,Relevance,Status,Notes
EVD-001,Payroll Export Q1 2024,Data Export,Payroll System,2024-01-15,2024-01-20,2024-01-01 to 2024-03-31,Quarterly payroll data export for Q1 2024,Appendix/Data/Payroll_Q1_2024.csv,Primary source for contribution calculations,Validated,
EVD-002,Recordkeeper Transaction Report,Transaction Report,Recordkeeper System,2024-04-10,2024-04-12,2024-01-01 to 2024-03-31,All contribution transactions posted to participant accounts,Appendix/Data/RK_Transactions_Q1_2024.csv,Verification of actual postings,Validated,
EVD-003,Bank Statement January 2024,Financial Statement,Bank/Custodian,2024-02-05,2024-02-10,2024-01-01 to 2024-01-31,Monthly bank statement showing deposits and activity,Appendix/Financial/Bank_Stmt_Jan_2024.pdf,Verification of deposit timing,Validated,
EVD-004,Plan Document Amendment,Legal Document,Plan Sponsor,2023-12-15,2024-01-05,Effective 2024-01-01,Amendment changing match formula,Appendix/Legal/Plan_Amendment_2023-12.pdf,Defines contribution rules,Validated,
EVD-005,Email - Deposit Instructions,Communication,Plan Administrator,2024-01-08,2024-01-10,2024-01-08,Email with wire transfer instructions for January contributions,Appendix/Communications/Email_Deposit_2024-01-08.pdf,Timing documentation,Validated,
EVD-006,Participant Census,Data Export,HRIS System,2024-01-20,2024-01-25,2024-01-01,Snapshot of eligible participants as of 1/1/2024,Appendix/Data/Participant_Census_2024-01.csv,Participant eligibility verification,Validated,
EVD-007,Recordkeeper Reconciliation Report,Reconciliation Report,Recordkeeper System,2024-04-15,2024-04-18,2024-01-01 to 2024-03-31,Quarterly reconciliation report from recordkeeper,Appendix/Reports/RK_Reconciliation_Q1_2024.pdf,Third-party reconciliation,Under Review,
EVD-008,Payroll System Configuration,System Documentation,Payroll Vendor,2023-11-20,2024-01-15,Effective 2024-01-01,Documentation of payroll system contribution calculation settings,Appendix/Systems/Payroll_Config_2024.pdf,System configuration verification,Validated,
EVD-009,Wire Transfer Confirmation,Financial Document,Bank,2024-01-15,2024-01-16,2024-01-15,Confirmation of wire transfer for January contributions,Appendix/Financial/Wire_Confirmation_2024-01-15.pdf,Deposit verification,Validated,
EVD-010,Participant Statement Sample,Account Statement,Recordkeeper,2024-04-01,2024-04-05,2024-01-01 to 2024-03-31,Sample participant quarterly statement,Appendix/Statements/Participant_Stmt_Sample.pdf,End-user view verification,Validated,